Идентификатор	Возраст, лет
001	31
002	53
003	57
004	47
005	38
006	42
007	30
008	29
009	19
010	59
011	61
012	55
013	27
014	25
015	46
016	38
017	38
018	21
019	16
020	26
021	25
022	26
023	26
024	25
025	25
026	29
027	35
028	45
029	29
030	20
031	15
032	39
033	33
034	50
035	29
036	50
037	53
038	15
039	31
040	44
041	25
042	54
043	42
044	38
045	27
046	34
047	41
048	57
049	43
050	45
051	41
052	53
053	47
054	54
055	50
056	54
057	49
058	20
059	54
060	35
061	32
062	32
063	19
064	21
065	26
066	35
067	52
068	26
069	48
070	30
071	46
072	36
073	32
074	17
075	19
076	24
077	27
078	53
079	39
080	35
081	28
082	22
083	27
084	29
085	54
086	38
087	36
088	31
089	55
090	48
091	31
092	18
093	41
094	27
095	45
096	50
097	49
098	32
099	33
100	55
