frame.time_epoch;ip.src;ip.dst;tcp.srcport;tcp.dstport;udp.srcport;udp.dstport;http.host;tls.handshake.extensions_server_name;frame.protocols;frame.len;http.request.method;http.response.code;dns.qry.name;tcp.flags
1676305992.536034000;10.2.13.101;10.2.13.1;;;61841;53;;;eth:ethertype:ip:udp:dns;79;;;microsofteamsus.top;
1676305992.887197000;10.2.13.1;10.2.13.101;;;53;61841;;;eth:ethertype:ip:udp:dns;249;;;microsofteamsus.top;
1676305993.093834000;10.2.13.101;85.193.93.125;49812;80;;;microsofteamsus.top;;eth:ethertype:ip:tcp:http;820;GET;;;0x0018
1676305996.826120000;10.2.13.101;85.193.93.125;49814;80;;;microsofteamsus.top;;eth:ethertype:ip:tcp:http;813;GET;;;0x0018
1676305996.831600000;10.2.13.101;85.193.93.125;49815;80;;;microsofteamsus.top;;eth:ethertype:ip:tcp:http;820;GET;;;0x0018
1676305996.832787000;10.2.13.101;85.193.93.125;49816;80;;;microsofteamsus.top;;eth:ethertype:ip:tcp:http;767;GET;;;0x0018
1676305997.335551000;10.2.13.101;85.193.93.125;49821;80;;;microsofteamsus.top;;eth:ethertype:ip:tcp:http;812;GET;;;0x0018
1676305997.893703000;10.2.13.101;85.193.93.125;49822;80;;;microsofteamsus.top;;eth:ethertype:ip:tcp:http;812;GET;;;0x0018
1676306006.400111000;10.2.13.101;85.193.93.125;49825;80;;;microsofteamsus.top;;eth:ethertype:ip:tcp:http;770;GET;;;0x0018
1676306006.400252000;10.2.13.101;85.193.93.125;49824;80;;;microsofteamsus.top;;eth:ethertype:ip:tcp:http;774;GET;;;0x0018
1676306023.243382000;10.2.13.101;10.2.13.1;;;65273;53;;;eth:ethertype:ip:udp:dns;90;;;firebasestorage.googleapis.com;
1676306023.326565000;10.2.13.1;10.2.13.101;;;53;65273;;;eth:ethertype:ip:udp:dns;425;;;firebasestorage.googleapis.com;
1676306023.405115000;10.2.13.101;142.251.32.74;49840;443;;;;firebasestorage.googleapis.com;eth:ethertype:ip:tcp:tls;571;;;;0x0018
1676306300.526312000;10.2.13.101;10.2.13.1;;;59865;53;;;eth:ethertype:ip:udp:dns;80;;;alishabrindeader.com;
1676306300.534656000;10.2.13.1;10.2.13.101;;;53;59865;;;eth:ethertype:ip:udp:dns;183;;;alishabrindeader.com;
1676306300.700752000;10.2.13.101;45.61.139.138;49863;80;;;alishabrindeader.com;;eth:ethertype:ip:tcp:http;360;GET;;;0x0018
